phi_calc,phi_exp,aw_calc,aw_exp,mannose
0.999742,0.993300,0.997973,0.997986,0.002028
0.999477,0.989000,0.995879,0.995923,0.004123
0.999198,0.984000,0.993681,0.993777,0.006324
0.998915,0.982800,0.991440,0.991577,0.008569
0.998626,0.982400,0.989151,0.989326,0.010864
0.998281,0.983200,0.986413,0.986617,0.013610
0.997906,0.983600,0.983426,0.983662,0.016608
0.997517,0.984200,0.980323,0.980583,0.019726
0.997115,0.985200,0.977112,0.977382,0.022954
0.996009,0.990300,0.968227,0.968406,0.031898
0.994552,0.997800,0.956417,0.956278,0.043816
0.992383,1.017000,0.938618,0.937144,0.061838
