phi_calc,phi_exp,aw_calc,aw_exp,mannose
0.980199,0.993300,0.998012,0.997986,0.002028
0.981230,0.989000,0.995955,0.995923,0.004123
0.982317,0.984000,0.993787,0.993777,0.006324
0.983430,0.982800,0.991572,0.991577,0.008569
0.984572,0.982400,0.989302,0.989326,0.010864
0.985944,0.983200,0.986580,0.986617,0.013610
0.987450,0.983600,0.983598,0.983662,0.016608
0.989024,0.984200,0.980489,0.980583,0.019726
0.990662,0.985200,0.977258,0.977382,0.022954
0.995249,0.990300,0.968251,0.968406,0.031898
1.001472,0.997800,0.956121,0.956278,0.043816
1.011133,1.017000,0.937495,0.937144,0.061838
