phi_calc,phi_exp,aw_calc,aw_exp,xylose
0.999708,0.997000,0.998791,0.998794,0.001209
0.999413,0.989400,0.997566,0.997591,0.002435
0.999110,0.987400,0.996310,0.996353,0.003694
0.998798,0.986900,0.995016,0.995075,0.004990
0.998546,0.986600,0.993971,0.994043,0.006038
0.998178,0.985200,0.992439,0.992537,0.007575
0.997849,0.985300,0.991073,0.991184,0.008946
0.997515,0.985000,0.989683,0.989812,0.010342
0.997197,0.985300,0.988356,0.988495,0.011676
0.996847,0.985200,0.986898,0.987050,0.013143
0.996527,0.985700,0.985563,0.985719,0.014487
0.996154,0.985800,0.984004,0.984169,0.016058
0.995671,0.985900,0.981987,0.982162,0.018090
0.995088,0.986800,0.979546,0.979714,0.020554
0.994512,0.987000,0.977133,0.977304,0.022992
0.993085,0.988100,0.971136,0.971279,0.029062
0.991798,0.991900,0.965710,0.965707,0.034568
0.990439,0.996600,0.959962,0.959718,0.040416
0.988978,1.001900,0.953759,0.953169,0.046744
0.987945,1.007400,0.949356,0.948385,0.051246
