phi_calc,phi_exp,aw_calc,aw_exp,xylose
0.998995,0.997000,0.998792,0.998794,0.001209
0.988694,0.989400,0.997592,0.997591,0.002435
0.985648,0.987400,0.996359,0.996353,0.003694
0.984444,0.986900,0.995087,0.995075,0.004990
0.984050,0.986600,0.994058,0.994043,0.006038
0.983930,0.985200,0.992546,0.992537,0.007575
0.984079,0.985300,0.991195,0.991184,0.008946
0.984376,0.985000,0.989818,0.989812,0.010342
0.984751,0.985300,0.988501,0.988495,0.011676
0.985232,0.985200,0.987050,0.987050,0.013143
0.985719,0.985700,0.985718,0.985719,0.014487
0.986329,0.985800,0.984160,0.984169,0.016058
0.987167,0.985900,0.982140,0.982162,0.018090
0.988236,0.986800,0.979685,0.979714,0.020554
0.989336,0.987000,0.977251,0.977304,0.022992
0.992195,0.988100,0.971162,0.971279,0.029062
0.994890,0.991900,0.965605,0.965707,0.034568
0.997823,0.996600,0.959670,0.959718,0.040416
1.001064,1.001900,0.953207,0.953169,0.046744
1.003405,1.007400,0.948584,0.948385,0.051246
