phi_calc,phi_exp,aw_calc,aw_exp,xylose
0.980933,0.997000,0.998814,0.998794,0.001209
0.981536,0.989400,0.997610,0.997591,0.002435
0.982156,0.987400,0.996372,0.996353,0.003694
0.982796,0.986900,0.995095,0.995075,0.004990
0.983315,0.986600,0.994063,0.994043,0.006038
0.984077,0.985200,0.992545,0.992537,0.007575
0.984758,0.985300,0.991189,0.991184,0.008946
0.985454,0.985000,0.989807,0.989812,0.010342
0.986120,0.985300,0.988485,0.988495,0.011676
0.986854,0.985200,0.987028,0.987050,0.013143
0.987528,0.985700,0.985692,0.985719,0.014487
0.988318,0.985800,0.984129,0.984169,0.016058
0.989343,0.985900,0.982101,0.982162,0.018090
0.990591,0.986800,0.979637,0.979714,0.020554
0.991830,0.987000,0.977194,0.977304,0.022992
0.994939,0.988100,0.971083,0.971279,0.029062
0.997788,0.991900,0.965507,0.965707,0.034568
1.000843,0.996600,0.959550,0.959718,0.040416
1.004184,1.001900,0.953065,0.953169,0.046744
1.006584,1.007400,0.948426,0.948385,0.051246
