phi_calc,phi_exp,aw_calc,aw_exp,glycylglycine
0.948333,0.490243,0.998244,0.999092,0.001852
0.947483,0.489974,0.998216,0.999077,0.001883
0.895311,0.476779,0.996636,0.998207,0.003756
0.893621,0.476486,0.996588,0.998179,0.003817
0.847292,0.469331,0.995351,0.997422,0.005484
0.844323,0.469434,0.995277,0.997372,0.005591
0.799226,0.463645,0.994228,0.996648,0.007217
0.796519,0.462817,0.994170,0.996608,0.007314
0.747152,0.456883,0.993195,0.995834,0.009097
0.744461,0.456845,0.993147,0.995789,0.009194
0.696980,0.452531,0.992382,0.995047,0.010912
0.691433,0.451984,0.992303,0.994962,0.011113
0.649165,0.448032,0.991773,0.994315,0.012645
0.643357,0.447791,0.991710,0.994223,0.012855
0.597316,0.445177,0.991297,0.993507,0.014527
0.588896,0.444448,0.991238,0.993380,0.014833
0.500122,0.440130,0.990924,0.992008,0.018066
0.492744,0.439530,0.990923,0.991899,0.018335
0.425150,0.437247,0.991101,0.990849,0.020805
0.418164,0.437048,0.991139,0.990741,0.021060
0.353475,0.435634,0.991655,0.989725,0.023430
0.346451,0.435161,0.991729,0.989622,0.023688
0.333543,0.435137,0.991875,0.989414,0.024161
0.323127,0.434735,0.992002,0.989255,0.024544
0.279821,0.434493,0.992617,0.988559,0.026135
0.272392,0.434323,0.992736,0.988443,0.026409
0.226979,0.434295,0.993556,0.987706,0.028081
0.218580,0.433813,0.993724,0.987583,0.028390
0.216965,0.434175,0.993757,0.987547,0.028450
