phi_calc,phi_exp,aw_calc,aw_exp,glycylglycine
0.499136,0.490243,0.999075,0.999092,0.001852
0.498203,0.489974,0.999062,0.999077,0.001883
0.469661,0.476779,0.998234,0.998207,0.003756
0.469195,0.476486,0.998207,0.998179,0.003817
0.460273,0.469331,0.997472,0.997422,0.005484
0.459872,0.469434,0.997425,0.997372,0.005591
0.455114,0.463645,0.996709,0.996648,0.007217
0.454888,0.462817,0.996666,0.996608,0.007314
0.451504,0.456883,0.995882,0.995834,0.009097
0.451350,0.456845,0.995840,0.995789,0.009194
0.449005,0.452531,0.995086,0.995047,0.010912
0.448767,0.451984,0.994998,0.994962,0.011113
0.447135,0.448032,0.994326,0.994315,0.012645
0.446932,0.447791,0.994234,0.994223,0.012855
0.445460,0.445177,0.993502,0.993507,0.014527
0.445213,0.444448,0.993369,0.993380,0.014833
0.442916,0.440130,0.991958,0.992008,0.018066
0.442745,0.439530,0.991840,0.991899,0.018335
0.441275,0.437247,0.990766,0.990849,0.020805
0.441132,0.437048,0.990654,0.990741,0.021060
0.439867,0.435634,0.989625,0.989725,0.023430
0.439735,0.435161,0.989514,0.989622,0.023688
0.439496,0.435137,0.989308,0.989414,0.024161
0.439305,0.434735,0.989143,0.989255,0.024544
0.438532,0.434493,0.988454,0.988559,0.026135
0.438402,0.434323,0.988335,0.988443,0.026409
0.437625,0.434295,0.987613,0.987706,0.028081
0.437484,0.433813,0.987479,0.987583,0.028390
0.437457,0.434175,0.987453,0.987547,0.028450
