phi_calc,phi_exp,aw_calc,aw_exp,glycylglycine
0.447481,0.490243,0.999171,0.999092,0.001852
0.447488,0.489974,0.999157,0.999077,0.001883
0.447909,0.476779,0.998316,0.998207,0.003756
0.447922,0.476486,0.998288,0.998179,0.003817
0.448298,0.469331,0.997538,0.997422,0.005484
0.448322,0.469434,0.997490,0.997372,0.005591
0.448689,0.463645,0.996756,0.996648,0.007217
0.448711,0.462817,0.996711,0.996608,0.007314
0.449115,0.456883,0.995904,0.995834,0.009097
0.449138,0.456845,0.995860,0.995789,0.009194
0.449528,0.452531,0.995080,0.995047,0.010912
0.449574,0.451984,0.994989,0.994962,0.011113
0.449923,0.448032,0.994291,0.994315,0.012645
0.449971,0.447791,0.994195,0.994223,0.012855
0.450354,0.445177,0.993431,0.993507,0.014527
0.450424,0.444448,0.993291,0.993380,0.014833
0.451167,0.440130,0.991808,0.992008,0.018066
0.451229,0.439530,0.991685,0.991899,0.018335
0.451799,0.437247,0.990546,0.990849,0.020805
0.451858,0.437048,0.990428,0.990741,0.021060
0.452408,0.435634,0.989331,0.989725,0.023430
0.452468,0.435161,0.989212,0.989622,0.023688
0.452579,0.435137,0.988992,0.989414,0.024161
0.452668,0.434735,0.988814,0.989255,0.024544
0.453039,0.434493,0.988074,0.988559,0.026135
0.453103,0.434323,0.987947,0.988443,0.026409
0.453494,0.434295,0.987166,0.987706,0.028081
0.453567,0.433813,0.987022,0.987583,0.028390
0.453581,0.434175,0.986994,0.987547,0.028450
