aw,FPD
1.000000000,-0.000000000
0.992544451,-0.100000000
0.985139188,-0.200000000
0.977783904,-0.300000000
0.970478290,-0.400000000
0.963222042,-0.500000000
0.956014856,-0.600000000
0.948856429,-0.700000000
0.941746462,-0.800000000
0.934684655,-0.900000000
0.927670713,-1.000000000
0.920704339,-1.100000000
0.913785240,-1.200000000
0.906913124,-1.300000000
0.900087702,-1.400000000
0.893308684,-1.500000000
0.886575783,-1.600000000
0.879888715,-1.700000000
0.873247195,-1.800000000
0.866650942,-1.900000000
0.860099674,-2.000000000
0.853593114,-2.100000000
0.847130984,-2.200000000
0.840713008,-2.300000000
0.834338912,-2.400000000
0.828008424,-2.500000000
0.821721272,-2.600000000
0.815477188,-2.700000000
0.809275903,-2.800000000
0.803117150,-2.900000000
0.797000666,-3.000000000
0.790926186,-3.100000000
0.784893449,-3.200000000
0.778902195,-3.300000000
0.772952165,-3.400000000
0.767043100,-3.500000000
0.761174747,-3.600000000
0.755346849,-3.700000000
0.749559155,-3.800000000
0.743811412,-3.900000000
0.738103371,-4.000000000
0.732434783,-4.100000000
0.726805400,-4.200000000
0.721214978,-4.300000000
0.715663272,-4.400000000
0.710150038,-4.500000000
0.704675036,-4.600000000
0.699238024,-4.700000000
0.693838765,-4.800000000
0.688477021,-4.900000000
0.683152556,-5.000000000
0.677865136,-5.100000000
0.672614526,-5.200000000
0.667400496,-5.300000000
0.662222814,-5.400000000
0.657081251,-5.500000000
0.651975579,-5.600000000
0.646905572,-5.700000000
0.641871004,-5.800000000
0.636871652,-5.900000000
0.631907292,-6.000000000
0.626977704,-6.100000000
0.622082666,-6.200000000
0.617221961,-6.300000000
0.612395370,-6.400000000
0.607602678,-6.500000000
0.602843669,-6.600000000
0.598118129,-6.700000000
0.593425846,-6.800000000
0.588766609,-6.900000000
0.584140207,-7.000000000
0.579546431,-7.100000000
0.574985074,-7.200000000
0.570455930,-7.300000000
0.565958793,-7.400000000
0.561493459,-7.500000000
0.557059725,-7.600000000
0.552657390,-7.700000000
0.548286253,-7.800000000
0.543946114,-7.900000000
0.539636777,-8.000000000
0.535358042,-8.100000000
0.531109716,-8.200000000
0.526891602,-8.300000000
0.522703508,-8.400000000
0.518545241,-8.500000000
0.514416609,-8.600000000
0.510317423,-8.700000000
0.506247494,-8.800000000
0.502206633,-8.900000000
0.498194654,-9.000000000
0.494211370,-9.100000000
0.490256598,-9.200000000
0.486330154,-9.300000000
0.482431854,-9.400000000
0.478561519,-9.500000000
0.474718966,-9.600000000
0.470904018,-9.700000000
0.467116496,-9.800000000
0.463356222,-9.900000000
0.459623021,-10.000000000
0.455916717,-10.100000000
0.452237136,-10.200000000
0.448584106,-10.300000000
0.444957454,-10.400000000
0.441357009,-10.500000000
0.437782602,-10.600000000
0.434234062,-10.700000000
0.430711223,-10.800000000
0.427213918,-10.900000000
0.423741979,-11.000000000
0.420295243,-11.100000000
0.416873545,-11.200000000
0.413476722,-11.300000000
0.410104612,-11.400000000
0.406757054,-11.500000000
0.403433888,-11.600000000
0.400134954,-11.700000000
0.396860094,-11.800000000
0.393609151,-11.900000000
0.390381968,-12.000000000
0.387178390,-12.100000000
0.383998263,-12.200000000
0.380841432,-12.300000000
0.377707746,-12.400000000
0.374597051,-12.500000000
0.371509198,-12.600000000
0.368444036,-12.700000000
0.365401416,-12.800000000
0.362381190,-12.900000000
0.359383210,-13.000000000
0.356407331,-13.100000000
0.353453406,-13.200000000
0.350521291,-13.300000000
0.347610842,-13.400000000
0.344721916,-13.500000000
0.341854371,-13.600000000
0.339008066,-13.700000000
0.336182859,-13.800000000
0.333378613,-13.900000000
0.330595187,-14.000000000
0.327832443,-14.100000000
0.325090246,-14.200000000
0.322368458,-14.300000000
0.319666945,-14.400000000
0.316985570,-14.500000000
0.314324202,-14.600000000
0.311682706,-14.700000000
0.309060950,-14.800000000
0.306458803,-14.900000000
0.303876135,-15.000000000
0.301312815,-15.100000000
0.298768714,-15.200000000
0.296243705,-15.300000000
0.293737659,-15.400000000
0.291250450,-15.500000000
0.288781952,-15.600000000
0.286332040,-15.700000000
0.283900588,-15.800000000
0.281487475,-15.900000000
