phi_calc,phi_exp,aw_calc,aw_exp,sucrose,mannitol
0.965802,0.515340,0.993484,0.996518,0.006746,0.000000
0.848347,0.582031,0.974257,0.982266,0.030274,0.000000
0.726481,0.658611,0.959502,0.963215,0.055316,0.000000
0.972145,0.859463,0.994661,0.995279,0.005491,0.000000
0.843700,0.585611,0.973597,0.981599,0.031217,0.000000
0.715529,0.664862,0.958439,0.961325,0.057600,0.000000
0.934466,0.531948,0.987877,0.993081,0.012968,0.000000
0.837623,0.594957,0.972745,0.980564,0.032451,0.000000
0.664301,0.695983,0.954051,0.951913,0.068360,0.000000
0.933770,0.532937,0.987756,0.992994,0.013106,0.000000
0.835169,0.591555,0.972405,0.980375,0.032950,0.000000
0.649100,0.704261,0.952936,0.949040,0.071578,0.000000
0.923235,0.538683,0.985952,0.991779,0.015207,0.000000
0.833438,0.592542,0.972167,0.980131,0.033302,0.000000
0.640696,0.708725,0.952357,0.947433,0.073362,0.000000
0.919100,0.540852,0.985254,0.991296,0.016033,0.000000
0.797248,0.614509,0.967421,0.974794,0.040693,0.000000
0.621289,0.720937,0.951120,0.943506,0.077495,0.000000
0.912314,0.544237,0.984123,0.990498,0.017390,0.000000
0.763979,0.635330,0.963473,0.969529,0.047539,0.000000
0.598174,0.732879,0.949835,0.938890,0.082443,0.000000
0.894780,0.554025,0.981274,0.988364,0.020905,0.000000
0.757111,0.639565,0.962708,0.968405,0.048959,0.000000
0.589862,0.737815,0.949422,0.937143,0.084229,0.000000
0.869464,0.569232,0.977354,0.985115,0.026002,0.000000
0.749160,0.643920,0.961843,0.967114,0.050605,0.000000
0.542265,0.762018,0.947577,0.927124,0.094529,0.000000
0.862385,0.573267,0.976298,0.984181,0.027432,0.000000
0.876433,0.500918,0.996596,0.998053,0.000000,0.003883
0.828969,0.501113,0.995539,0.997301,0.000000,0.005379
0.779749,0.501423,0.994590,0.996518,0.000000,0.006932
0.707551,0.502804,0.993471,0.995356,0.000000,0.009215
0.702804,0.502936,0.993409,0.995279,0.000000,0.009366
0.613960,0.504232,0.992503,0.993838,0.000000,0.012183
0.572413,0.505010,0.992248,0.993158,0.000000,0.013503
0.561942,0.504657,0.992201,0.992994,0.000000,0.013836
0.506405,0.506736,0.992067,0.992062,0.000000,0.015604
0.488834,0.506562,0.992066,0.991779,0.000000,0.016164
0.426458,0.507198,0.992217,0.990750,0.000000,0.018155
0.411195,0.507350,0.992292,0.990498,0.000000,0.018642
0.383117,0.508071,0.992468,0.990024,0.000000,0.019540
0.312294,0.509295,0.993138,0.988833,0.000000,0.021809
0.289154,0.509394,0.993426,0.988448,0.000000,0.022551
0.879787,0.528987,0.987751,0.992617,0.011062,0.002849
0.810591,0.522494,0.988569,0.992617,0.008165,0.005918
0.736258,0.516671,0.989496,0.992617,0.005574,0.008666
0.642928,0.510665,0.990714,0.992617,0.002761,0.011646
0.854710,0.535591,0.985589,0.990945,0.013392,0.003448
0.770449,0.527722,0.986808,0.990945,0.009905,0.007184
0.679772,0.520769,0.988197,0.990945,0.006777,0.010539
0.565799,0.513843,0.990034,0.990945,0.003363,0.014184
0.797866,0.555717,0.979905,0.985961,0.020681,0.004440
0.700739,0.546514,0.982035,0.985961,0.016577,0.008962
0.586722,0.537364,0.984681,0.985961,0.012488,0.013480
0.470084,0.529456,0.987525,0.985961,0.008796,0.017554
0.716446,0.560943,0.978923,0.983459,0.021703,0.007593
0.637864,0.559503,0.979808,0.982266,0.020672,0.010802
0.574969,0.554602,0.981621,0.982266,0.018331,0.013417
0.738498,0.579241,0.975047,0.980375,0.028117,0.005522
0.610317,0.567381,0.978905,0.980375,0.022756,0.011574
0.465710,0.555599,0.983524,0.980375,0.017641,0.017404
0.722781,0.579409,0.975276,0.980131,0.027790,0.006254
0.673753,0.574388,0.976734,0.980131,0.025689,0.008648
0.511527,0.560442,0.981849,0.980131,0.019569,0.015606
0.643518,0.626339,0.967553,0.968405,0.043336,0.006630
0.544472,0.616990,0.972066,0.968405,0.039025,0.011679
0.407477,0.606001,0.978644,0.968405,0.033670,0.017929
0.649052,0.670571,0.959337,0.958017,0.058983,0.002974
0.606506,0.665334,0.961657,0.958017,0.056984,0.005445
0.563797,0.661074,0.964083,0.958017,0.054990,0.007829
0.502997,0.655988,0.967648,0.958017,0.052225,0.011065
0.492371,0.744021,0.954101,0.931461,0.086646,0.004371
0.430828,0.737933,0.959395,0.931461,0.083732,0.008000
0.367814,0.731492,0.964929,0.931461,0.080974,0.011527
