phi_calc,phi_exp,aw_calc,aw_exp,sucrose,mannitol
0.603049,0.515340,0.995927,0.996518,0.006746,0.000000
0.627813,0.582031,0.980885,0.982266,0.030274,0.000000
0.638435,0.658611,0.964322,0.963215,0.055316,0.000000
0.597596,0.859463,0.996715,0.995279,0.005491,0.000000
0.628272,0.585611,0.980272,0.981599,0.031217,0.000000
0.639325,0.664862,0.962782,0.961325,0.057600,0.000000
0.615641,0.531948,0.991996,0.993081,0.012968,0.000000
0.628859,0.594957,0.979468,0.980564,0.032451,0.000000
0.643468,0.695983,0.955459,0.951913,0.068360,0.000000
0.615807,0.532937,0.991909,0.992994,0.013106,0.000000
0.629093,0.591555,0.979143,0.980375,0.032950,0.000000
0.644697,0.704261,0.953247,0.949040,0.071578,0.000000
0.618051,0.538683,0.990574,0.991779,0.015207,0.000000
0.629257,0.592542,0.978913,0.980131,0.033302,0.000000
0.645377,0.708725,0.952017,0.947433,0.073362,0.000000
0.618821,0.540852,0.990048,0.991296,0.016033,0.000000
0.632522,0.614509,0.974065,0.974794,0.040693,0.000000
0.646953,0.720937,0.949154,0.943506,0.077495,0.000000
0.619982,0.544237,0.989183,0.990498,0.017390,0.000000
0.635349,0.635330,0.969529,0.969529,0.047539,0.000000
0.648839,0.732879,0.945703,0.938890,0.082443,0.000000
0.622556,0.554025,0.986934,0.988364,0.020905,0.000000
0.635920,0.639565,0.968582,0.968405,0.048959,0.000000
0.649521,0.737815,0.944452,0.937143,0.084229,0.000000
0.625608,0.569232,0.983653,0.985115,0.026002,0.000000
0.636577,0.643920,0.967483,0.967114,0.050605,0.000000
0.653463,0.762018,0.937172,0.927124,0.094529,0.000000
0.626373,0.573267,0.982728,0.984181,0.027432,0.000000
0.466659,0.500918,0.998186,0.998053,0.000000,0.003883
0.477732,0.501113,0.997427,0.997301,0.000000,0.005379
0.484348,0.501423,0.996636,0.996518,0.000000,0.006932
0.490268,0.502804,0.995471,0.995356,0.000000,0.009215
0.490566,0.502936,0.995395,0.995279,0.000000,0.009366
0.494976,0.504232,0.993951,0.993838,0.000000,0.012183
0.496514,0.505010,0.993273,0.993158,0.000000,0.013503
0.496866,0.504657,0.993101,0.992994,0.000000,0.013836
0.498545,0.506736,0.992190,0.992062,0.000000,0.015604
0.499021,0.506562,0.991901,0.991779,0.000000,0.016164
0.500550,0.507198,0.990871,0.990750,0.000000,0.018155
0.500892,0.507350,0.990618,0.990498,0.000000,0.018642
0.501494,0.508071,0.990152,0.990024,0.000000,0.019540
0.502880,0.509295,0.988973,0.988833,0.000000,0.021809
0.503300,0.509394,0.988586,0.988448,0.000000,0.022551
0.592188,0.528987,0.991738,0.992617,0.011062,0.002849
0.566569,0.522494,0.991997,0.992617,0.008165,0.005918
0.544171,0.516671,0.992225,0.992617,0.005574,0.008666
0.520401,0.510665,0.992477,0.992617,0.002761,0.011646
0.594961,0.535591,0.989946,0.990945,0.013392,0.003448
0.569301,0.527722,0.990235,0.990945,0.009905,0.007184
0.546893,0.520769,0.990493,0.990945,0.006777,0.010539
0.523105,0.513843,0.990783,0.990945,0.003363,0.014184
0.603829,0.555717,0.984755,0.985961,0.020681,0.004440
0.583070,0.546514,0.985029,0.985961,0.016577,0.008962
0.563027,0.537364,0.985295,0.985961,0.012488,0.013480
0.545492,0.529456,0.985539,0.985961,0.008796,0.017554
0.596038,0.560943,0.982434,0.983459,0.021703,0.007593
0.586913,0.559503,0.981406,0.982266,0.020672,0.010802
0.577439,0.554602,0.981543,0.982266,0.018331,0.013417
0.609549,0.579241,0.979359,0.980375,0.028117,0.005522
0.588921,0.567381,0.979637,0.980375,0.022756,0.011574
0.569917,0.555599,0.979874,0.980375,0.017641,0.017404
0.607366,0.579409,0.979182,0.980131,0.027790,0.006254
0.599247,0.574388,0.979280,0.980131,0.025689,0.008648
0.576385,0.560442,0.979572,0.980131,0.019569,0.015606
0.620128,0.626339,0.968714,0.968405,0.043336,0.006630
0.608494,0.616990,0.968833,0.968405,0.039025,0.011679
0.594527,0.606001,0.968994,0.968405,0.033670,0.017929
0.635115,0.670571,0.960192,0.958017,0.058983,0.002974
0.630476,0.665334,0.960172,0.958017,0.056984,0.005445
0.626028,0.661074,0.960198,0.958017,0.054990,0.007829
0.620034,0.655988,0.960272,0.958017,0.052225,0.011065
0.646122,0.744021,0.940204,0.931461,0.086646,0.004371
0.641501,0.737933,0.940144,0.931461,0.083732,0.008000
0.637118,0.731492,0.940033,0.931461,0.080974,0.011527
