phi_calc,phi_exp,aw_calc,aw_exp,sucrose,mannitol
0.617646,0.515340,0.995828,0.996518,0.006746,0.000000
0.625117,0.582031,0.980966,0.982266,0.030274,0.000000
0.633409,0.658611,0.964598,0.963215,0.055316,0.000000
0.617256,0.859463,0.996607,0.995279,0.005491,0.000000
0.625423,0.585611,0.980360,0.981599,0.031217,0.000000
0.634183,0.664862,0.963076,0.961325,0.057600,0.000000
0.619593,0.531948,0.991945,0.993081,0.012968,0.000000
0.625824,0.594957,0.979566,0.980564,0.032451,0.000000
0.637875,0.695983,0.955838,0.951913,0.068360,0.000000
0.619636,0.532937,0.991858,0.992994,0.013106,0.000000
0.625986,0.591555,0.979244,0.980375,0.032950,0.000000
0.638993,0.704261,0.953651,0.949040,0.071578,0.000000
0.620298,0.538683,0.990539,0.991779,0.015207,0.000000
0.626101,0.592542,0.979018,0.980131,0.033302,0.000000
0.639615,0.708725,0.952435,0.947433,0.073362,0.000000
0.620559,0.540852,0.990020,0.991296,0.016033,0.000000
0.628523,0.614509,0.974226,0.974794,0.040693,0.000000
0.641065,0.720937,0.949604,0.943506,0.077495,0.000000
0.620989,0.544237,0.989165,0.990498,0.017390,0.000000
0.630795,0.635330,0.969744,0.969529,0.047539,0.000000
0.642815,0.732879,0.946194,0.938890,0.082443,0.000000
0.622106,0.554025,0.986943,0.988364,0.020905,0.000000
0.631269,0.639565,0.968809,0.968405,0.048959,0.000000
0.643451,0.737815,0.944956,0.937143,0.084229,0.000000
0.623738,0.569232,0.983701,0.985115,0.026002,0.000000
0.631821,0.643920,0.967722,0.967114,0.050605,0.000000
0.647157,0.762018,0.937759,0.927124,0.094529,0.000000
0.624199,0.573267,0.982788,0.984181,0.027432,0.000000
0.490009,0.500918,0.998095,0.998053,0.000000,0.003883
0.490377,0.501113,0.997359,0.997301,0.000000,0.005379
0.490761,0.501423,0.996592,0.996518,0.000000,0.006932
0.491327,0.502804,0.995462,0.995356,0.000000,0.009215
0.491364,0.502936,0.995387,0.995279,0.000000,0.009366
0.492066,0.504232,0.993987,0.993838,0.000000,0.012183
0.492396,0.505010,0.993328,0.993158,0.000000,0.013503
0.492479,0.504657,0.993162,0.992994,0.000000,0.013836
0.492922,0.506736,0.992278,0.992062,0.000000,0.015604
0.493063,0.506562,0.991997,0.991779,0.000000,0.016164
0.493564,0.507198,0.990998,0.990750,0.000000,0.018155
0.493687,0.507350,0.990753,0.990498,0.000000,0.018642
0.493914,0.508071,0.990301,0.990024,0.000000,0.019540
0.494488,0.509295,0.989156,0.988833,0.000000,0.021809
0.494676,0.509394,0.988780,0.988448,0.000000,0.022551
0.596327,0.528987,0.991681,0.992617,0.011062,0.002849
0.570245,0.522494,0.991945,0.992617,0.008165,0.005918
0.546259,0.516671,0.992196,0.992617,0.005574,0.008666
0.519549,0.510665,0.992489,0.992617,0.002761,0.011646
0.597767,0.535591,0.989899,0.990945,0.013392,0.003448
0.571940,0.527722,0.990190,0.990945,0.009905,0.007184
0.547947,0.520769,0.990475,0.990945,0.006777,0.010539
0.520943,0.513843,0.990821,0.990945,0.003363,0.014184
0.604968,0.555717,0.984726,0.985961,0.020681,0.004440
0.585257,0.546514,0.984973,0.985961,0.016577,0.008962
0.564610,0.537364,0.985254,0.985961,0.012488,0.013480
0.545169,0.529456,0.985547,0.985961,0.008796,0.017554
0.597972,0.560943,0.982377,0.983459,0.021703,0.007593
0.589568,0.559503,0.981322,0.982266,0.020672,0.010802
0.580209,0.554602,0.981455,0.982266,0.018331,0.013417
0.610407,0.579241,0.979330,0.980375,0.028117,0.005522
0.591921,0.567381,0.979535,0.980375,0.022756,0.011574
0.572904,0.555599,0.979770,0.980375,0.017641,0.017404
0.608590,0.579409,0.979141,0.980131,0.027790,0.006254
0.601498,0.574388,0.979203,0.980131,0.025689,0.008648
0.579664,0.560442,0.979457,0.980131,0.019569,0.015606
0.621191,0.626339,0.968661,0.968405,0.043336,0.006630
0.612631,0.616990,0.968625,0.968405,0.039025,0.011679
0.600992,0.606001,0.968662,0.968405,0.033670,0.017929
0.632808,0.670571,0.960334,0.958017,0.058983,0.002974
0.630433,0.665334,0.960175,0.958017,0.056984,0.005445
0.627965,0.661074,0.960077,0.958017,0.054990,0.007829
0.624343,0.655988,0.960001,0.958017,0.052225,0.011065
0.644770,0.744021,0.940326,0.931461,0.086646,0.004371
0.643824,0.737933,0.939934,0.931461,0.083732,0.008000
0.642707,0.731492,0.939523,0.931461,0.080974,0.011527
