phi_calc,phi_exp,aw_calc,aw_exp,sucrose
0.450388,0.762018,0.956262,0.927124,0.094529
0.507539,0.737815,0.956325,0.937143,0.084229
0.517519,0.732879,0.956449,0.938890,0.082443
0.545273,0.720937,0.956970,0.943506,0.077495
0.568576,0.708725,0.957604,0.947433,0.073362
0.578667,0.704261,0.957934,0.949040,0.071578
0.596919,0.695983,0.958614,0.951913,0.068360
0.658430,0.664862,0.961691,0.961325,0.057600
0.671580,0.658611,0.962505,0.963215,0.055316
0.698811,0.643920,0.964361,0.967114,0.050605
0.708358,0.639565,0.965067,0.968405,0.048959
0.716605,0.635330,0.965699,0.969529,0.047539
0.756551,0.614509,0.969058,0.974794,0.040693
0.800006,0.592542,0.973268,0.980131,0.033302
0.802084,0.591555,0.973484,0.980375,0.032950
0.805031,0.594957,0.973792,0.980564,0.032451
0.812328,0.585611,0.974566,0.981599,0.031217
0.817907,0.582031,0.975169,0.982266,0.030274
0.834763,0.573267,0.977048,0.984181,0.027432
0.843262,0.569232,0.978028,0.985115,0.026002
0.873660,0.554025,0.981712,0.988364,0.020905
0.894714,0.544237,0.984427,0.990498,0.017390
0.902862,0.540852,0.985513,0.991296,0.016033
0.907826,0.538683,0.986185,0.991779,0.015207
0.920476,0.532937,0.987930,0.992994,0.013106
0.921312,0.531948,0.988046,0.993081,0.012968
0.958938,0.515340,0.993530,0.996518,0.006746
0.966554,0.859463,0.994692,0.995279,0.005491
