phi_calc,phi_exp,aw_calc,aw_exp,sucrose
0.606735,0.515340,0.995902,0.996518,0.006746
0.626996,0.582031,0.980909,0.982266,0.030274
0.637010,0.658611,0.964400,0.963215,0.055316
0.602600,0.859463,0.996687,0.995279,0.005491
0.627414,0.585611,0.980298,0.981599,0.031217
0.637870,0.664862,0.962865,0.961325,0.057600
0.616555,0.531948,0.991985,0.993081,0.012968
0.627953,0.594957,0.979497,0.980564,0.032451
0.641895,0.695983,0.955566,0.951913,0.068360
0.616689,0.532937,0.991897,0.992994,0.013106
0.628168,0.591555,0.979173,0.980375,0.032950
0.643095,0.704261,0.953361,0.949040,0.071578
0.618521,0.538683,0.990566,0.991779,0.015207
0.628319,0.592542,0.978944,0.980131,0.033302
0.643760,0.708725,0.952134,0.947433,0.073362
0.619158,0.540852,0.990042,0.991296,0.016033
0.631365,0.614509,0.974111,0.974794,0.040693
0.645302,0.720937,0.949280,0.943506,0.077495
0.620129,0.544237,0.989180,0.990498,0.017390
0.634047,0.635330,0.969590,0.969529,0.047539
0.647153,0.732879,0.945840,0.938890,0.082443
0.622324,0.554025,0.986939,0.988364,0.020905
0.634593,0.639565,0.968647,0.968405,0.048959
0.647823,0.737815,0.944593,0.937143,0.084229
0.625005,0.569232,0.983668,0.985115,0.026002
0.635222,0.643920,0.967551,0.967114,0.050605
0.651703,0.762018,0.937335,0.927124,0.094529
0.625691,0.573267,0.982747,0.984181,0.027432
