phi_calc,phi_exp,aw_calc,aw_exp,sucrose
0.618267,0.859463,0.996601,0.995279,0.005491
0.618657,0.515340,0.995821,0.996518,0.006746
0.620608,0.531948,0.991932,0.993081,0.012968
0.620651,0.532937,0.991845,0.992994,0.013106
0.621315,0.538683,0.990524,0.991779,0.015207
0.621576,0.540852,0.990004,0.991296,0.016033
0.622006,0.544237,0.989148,0.990498,0.017390
0.623125,0.554025,0.986922,0.988364,0.020905
0.624760,0.569232,0.983675,0.985115,0.026002
0.625221,0.573267,0.982760,0.984181,0.027432
0.626141,0.582031,0.980935,0.982266,0.030274
0.626447,0.585611,0.980328,0.981599,0.031217
0.626849,0.594957,0.979533,0.980564,0.032451
0.627012,0.591555,0.979211,0.980375,0.032950
0.627126,0.592542,0.978984,0.980131,0.033302
0.629553,0.614509,0.974185,0.974794,0.040693
0.631828,0.635330,0.969695,0.969529,0.047539
0.632303,0.639565,0.968758,0.968405,0.048959
0.632856,0.643920,0.967670,0.967114,0.050605
0.634446,0.658611,0.964541,0.963215,0.055316
0.635222,0.664862,0.963016,0.961325,0.057600
0.638920,0.695983,0.955767,0.951913,0.068360
0.640039,0.704261,0.953577,0.949040,0.071578
0.640663,0.708725,0.952359,0.947433,0.073362
0.642115,0.720937,0.949524,0.943506,0.077495
0.643868,0.732879,0.946108,0.938890,0.082443
0.644505,0.737815,0.944869,0.937143,0.084229
0.648217,0.762018,0.937660,0.927124,0.094529
