x,yplus,yminus
1.99,0,0
2.0076,1.5167052905291664e-20,-1.5167052905291664e-20
2.0156,2.229537183005914e-20,-2.229537183005914e-20
2.0236,3.2718271956272216e-20,-3.2718271956272216e-20
2.0316,4.7932283193340855e-20,-4.7932283193340855e-20
2.0396,7.01016104915067e-20,-7.01016104915067e-20
2.0476,1.023505061216739e-19,-1.023505061216739e-19
2.0556,1.491812061089577e-19,-1.491812061089577e-19
2.0636,2.1707027367310897e-19,-2.1707027367310897e-19
2.0716,3.153179641252782e-19,-3.153179641252782e-19
2.0796,4.572557697455362e-19,-4.572557697455362e-19
2.0876,6.619600725070759e-19,-6.619600725070759e-19
2.0956,9.566796056282286e-19,-9.566796056282286e-19
2.1036,1.3802678018427737e-18,-1.3802678018427737e-18
2.1116,1.9880271845881093e-18,-1.9880271845881093e-18
2.1196,2.858534253169164e-18,-2.858534253169164e-18
2.1276,4.103237006215564e-18,-4.103237006215564e-18
2.1356,5.879926880532054e-18,-5.879926880532054e-18
2.1436,8.411614643592841e-18,-8.411614643592841e-18
2.1516,1.201292959155058e-17,-1.201292959155058e-17
2.1596,1.712697308669839e-17,-1.712697308669839e-17
2.1676,2.4376672310620097e-17,-2.4376672310620097e-17
2.1756,3.4636208364318045e-17,-3.4636208364318045e-17
2.1836,4.913018373921775e-17,-4.913018373921775e-17
2.1916,6.957104927183445e-17,-6.957104927183445e-17
2.1996,9.83492016663827e-17,-9.83492016663827e-17
2.2076000000000002,1.3879545498174262e-16,-1.3879545498174262e-16
2.2156000000000002,1.9554277370971515e-16,-1.9554277370971515e-16
2.2236000000000002,2.7502388838865967e-16,-2.7502388838865967e-16
2.2316,3.8615457559861723e-16,-3.8615457559861723e-16
2.2396,5.412701445911779e-16,-5.412701445911779e-16
2.2476,7.574065927944191e-16,-7.574065927944191e-16
2.2556,1.058050044431822e-15,-1.058050044431822e-15
2.2636,1.4755212177586067e-15,-1.4755212177586067e-15
2.2716,2.0542194110715667e-15,-2.0542194110715667e-15
2.2796,2.855027652777316e-15,-2.855027652777316e-15
2.2876,3.961283545163219e-15,-3.961283545163219e-15
2.2956,5.486857250424406e-15,-5.486857250424406e-15
2.3036,7.587059914025223e-15,-7.587059914025223e-15
